id_transacao,cliente,valor,metodo_pagamento,valor_numerico
101,,abc,,
106,Camila Ferreira,-377.07,,-377.07
107,,,,
108,,,Cartao,
111,,abc,Dinheiro,
113,,,Boleto,
116,,3705.49,,3705.49
117,,erro,Cartao,
120,,0.0,Crypto,0.0
122,Rodrigo Nunes,-386.94,,-386.94
123,Felipe Batista,erro,,
129,Mariana Lima,-299.64,,-299.64
133,Lucas Rocha,-275.26,,-275.26
135,Ana Costa,-21.63,,-21.63
137,Rodrigo Nunes,,,
140,Maria Oliveira,erro,,
141,Carlos Eduardo,0.0,,0.0
145,,,,
146,Renata Dias,abc,,
150,Aline Barros,,,
153,,erro,Pix,
154,Carlos Eduardo,83.33,,83.33
156,,2720.98,Crypto,2720.98
163,Rafael Costa,0.0,,0.0
166,Ana Costa,-338.07,,-338.07
167,Fernanda Souza,erro,,
171,,-210.01,Boleto,-210.01
172,Felipe Batista,erro,,
173,Juliana Martins,0.0,,0.0
175,Maria Oliveira,abc,,
185,Pedro Alves,0.0,,0.0
187,,-346.2,Cartao,-346.2
188,Pedro Alves,erro,,
189,,,Cartao,
190,Maria Oliveira,,,
191,Juliana Martins,-406.67,,-406.67
203,Felipe Batista,abc,,
204,Lucas Rocha,3076.34,,3076.34
205,Rafael Costa,erro,,
212,Aline Barros,abc,,
215,Fernanda Souza,erro,,
220,Aline Barros,,,
223,,erro,Cartao,
227,Carlos Eduardo,abc,,
229,Maria Oliveira,,,
232,,erro,Boleto,
234,,0.0,Pix,0.0
236,,0.0,Pix,0.0
237,,,Pix,
240,Rafael Costa,0.0,,0.0
241,Ana Costa,abc,,
243,Lucas Rocha,erro,,
244,Rafael Costa,erro,,
245,,,Crypto,
250,Carlos Eduardo,,,
252,,-274.14,Cartao,-274.14
258,Felipe Batista,0.0,,0.0
259,Lucas Rocha,-494.48,,-494.48
262,Fernanda Souza,-82.75,,-82.75
264,,626.97,Boleto,626.97
266,Lucas Rocha,0.0,,0.0
267,,-175.13,Boleto,-175.13
268,,-462.13,Boleto,-462.13
272,,erro,Crypto,
276,Camila Ferreira,abc,,
278,,0.0,Pix,0.0
279,,erro,Pix,
281,Joao Silva,abc,,
282,,,Crypto,
285,Bruno Ribeiro,-407.78,,-407.78
290,Carlos Eduardo,abc,,
292,,4233.19,Cartao,4233.19
297,,-173.95,Pix,-173.95
303,Juliana Martins,0.0,,0.0
307,,0.0,Boleto,0.0
315,,-499.01,Boleto,-499.01
318,,-238.34,,-238.34
319,,abc,Pix,
320,Joao Silva,erro,,
323,,0.0,Dinheiro,0.0
324,,1013.8,Pix,1013.8
326,Diego Carvalho,abc,,
332,Juliana Martins,4833.0,,4833.0
336,Fernanda Souza,,,
343,,erro,Crypto,
344,Camila Ferreira,-113.64,,-113.64
345,,,Cartao,
351,,-395.13,Cartao,-395.13
353,,erro,Pix,
356,,4751.68,Boleto,4751.68
357,,-109.56,Cartao,-109.56
359,,,Pix,
361,,abc,Crypto,
362,Ana Paula,0.0,,0.0
364,Ana Costa,-85.38,,-85.38
365,Fernanda Souza,,,
367,Camila Ferreira,,,
369,,,Pix,
370,,abc,Cartao,
372,,3231.32,Pix,3231.32
373,Felipe Batista,2905.16,,2905.16
374,,erro,Dinheiro,
375,,,,
384,,,Boleto,
387,Carlos Souza,-79.69,,-79.69
394,,-33.17,Pix,-33.17
