id_transacao,cliente,valor,metodo_pagamento,valor_numerico
101,,abc,,
103,Ana Paula,abc,Pix,
105,Rafael Costa,abc,Dinheiro,
110,Maria Oliveira,erro,Boleto,
111,,abc,Dinheiro,
117,,erro,Cartao,
119,Bruno Ribeiro,abc,Cartao,
123,Felipe Batista,erro,,
124,Aline Barros,erro,Pix,
126,Felipe Batista,abc,Dinheiro,
134,Patricia Gomes,abc,Boleto,
139,Rodrigo Nunes,abc,Cartao,
140,Maria Oliveira,erro,,
142,Diego Carvalho,erro,Pix,
146,Renata Dias,abc,,
147,Carlos Eduardo,erro,Pix,
149,Maria Oliveira,erro,Cartao,
152,Maria Oliveira,erro,Pix,
153,,erro,Pix,
155,Carlos Souza,erro,Dinheiro,
157,Pedro Alves,erro,Dinheiro,
160,Carlos Souza,erro,Crypto,
167,Fernanda Souza,erro,,
170,Fernanda Souza,erro,Boleto,
172,Felipe Batista,erro,,
175,Maria Oliveira,abc,,
179,Diego Carvalho,erro,Cartao,
188,Pedro Alves,erro,,
195,Bruno Ribeiro,erro,Crypto,
201,Patricia Gomes,erro,Crypto,
203,Felipe Batista,abc,,
205,Rafael Costa,erro,,
207,Rafael Costa,erro,Boleto,
208,Pedro Alves,abc,Pix,
209,Maria Oliveira,abc,Dinheiro,
211,Ana Costa,erro,Dinheiro,
212,Aline Barros,abc,,
215,Fernanda Souza,erro,,
217,Mariana Lima,erro,Dinheiro,
219,Pedro Alves,erro,Cartao,
221,Renata Dias,abc,Dinheiro,
223,,erro,Cartao,
226,Carlos Souza,abc,Pix,
227,Carlos Eduardo,abc,,
228,Joao Silva,erro,Crypto,
232,,erro,Boleto,
235,Juliana Martins,erro,Dinheiro,
241,Ana Costa,abc,,
243,Lucas Rocha,erro,,
244,Rafael Costa,erro,,
248,Ana Paula,erro,Dinheiro,
253,Carlos Souza,erro,Boleto,
254,Patricia Gomes,erro,Boleto,
265,Rodrigo Nunes,abc,Crypto,
270,Fernanda Souza,erro,Boleto,
272,,erro,Crypto,
275,Ana Paula,abc,Dinheiro,
276,Camila Ferreira,abc,,
279,,erro,Pix,
280,Patricia Gomes,abc,Boleto,
281,Joao Silva,abc,,
283,Ana Costa,abc,Crypto,
284,Bruno Ribeiro,erro,Boleto,
286,Pedro Alves,abc,Cartao,
287,Fernanda Souza,abc,Crypto,
290,Carlos Eduardo,abc,,
293,Rodrigo Nunes,abc,Dinheiro,
295,Pedro Alves,erro,Boleto,
299,Rodrigo Nunes,erro,Boleto,
302,Rodrigo Nunes,abc,Crypto,
305,Fernanda Souza,erro,Pix,
309,Rafael Costa,erro,Boleto,
311,Lucas Rocha,erro,Boleto,
312,Ana Costa,abc,Crypto,
313,Pedro Alves,abc,Cartao,
319,,abc,Pix,
320,Joao Silva,erro,,
321,Diego Carvalho,erro,Boleto,
326,Diego Carvalho,abc,,
327,Fernanda Souza,erro,Crypto,
331,Carlos Souza,abc,Pix,
337,Joao Silva,abc,Boleto,
339,Maria Oliveira,erro,Pix,
343,,erro,Crypto,
348,Maria Oliveira,erro,Cartao,
353,,erro,Pix,
358,Renata Dias,abc,Boleto,
361,,abc,Crypto,
363,Maria Oliveira,erro,Pix,
368,Felipe Batista,abc,Dinheiro,
370,,abc,Cartao,
374,,erro,Dinheiro,
379,Renata Dias,erro,Dinheiro,
383,Rafael Costa,abc,Dinheiro,
386,Maria Oliveira,abc,Cartao,
388,Ana Costa,abc,Pix,
391,Aline Barros,erro,Cartao,
398,Maria Oliveira,abc,Crypto,
399,Carlos Eduardo,erro,Crypto,
